"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Follows,Likes,Comments,Saves,Plays
17993502044011822,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Who said being a grown up can’t be fun? 🪄🎨",8,"07/04/2023 15:07",https://www.instagram.com/jeanpierreweillpaintings/reel/CuSsppJsfCp/,"IG reel",,Lifetime,34830,33268,103,198,734,4,93,33176
18069311119381869,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Hey there, welcome to our family art studio! We've been on this colorful adventure since '92, when I was searching for a way to make art and support my growing family. That's when I stumbled upon the magic of 3D paintings, and the rest is history!

About 10 years ago, we packed our brushes and moved to Israel, where my amazing daughters, Davida and Safira, hopped on board. They brought their own flair and creativity to the mix, making our studio even more vibrant.

We're not just a studio; we're a creative family, and now you're part of it too! Your love and feedback make our paints flow even smoother. So, here's to staying playful, keeping it real, and always giving our best. Thanks for joining our artistic journey! 🌟🖌️",0,"09/28/2023 12:09",https://www.instagram.com/jeanpierreweillpaintings/p/CxvxhiuxxyX/,"IG image",,Lifetime,9682,9141,7,3,303,38,21,
18391210102003058,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Life is this... finding beauty in every brushstroke, color, and moment shared in our art studio. 🎨💫",9,"09/26/2023 14:09",https://www.instagram.com/jeanpierreweillpaintings/reel/Cxq5Z52LvtS/,"IG reel",,Lifetime,1732081,1652858,10695,27428,96998,773,11074,2742405
18059989807415278,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Can you spot the personalization? 🔎👀

You did it!

Tiny details, big love. ✍️ Add your personal touch with up to 10 characters on your Petite Collection piece - because it's the little things that matter most!

*Personalize with up to 10 characters for free with any Petite Collection purchase.
**Just $10 for Mini Collection pieces.",0,"09/20/2023 11:09",https://www.instagram.com/jeanpierreweillpaintings/p/CxbJD1TLENy/,"IG image",,Lifetime,15445,14896,15,4,351,5,144,
17872717340969669,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Every stroke tells a story, and in this studio, art is our voice. 🎨✨",8,"09/18/2023 14:09",https://www.instagram.com/jeanpierreweillpaintings/reel/CxWPMblNupK/,"IG reel",,Lifetime,88012,84175,818,697,3706,57,1005,80587
17903006243778837,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Embracing the serenity of autumn in Venice 🍁 The sounds of water are a symphony to the soul, filling every corner of this enchanting city with tranquility. In this painting, as figures glide along the canal, their hearts are at peace, feeling loved by the world itself.",0,"09/14/2023 10:09",https://www.instagram.com/jeanpierreweillpaintings/p/CxLnW9RL1Km/,"IG carousel",,Lifetime,13937,13234,12,5,316,7,139,
18021894424728280,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","From a blank canvas to a vibrant masterpiece! 🖌️✨ 🌟 Ready to be inspired? Dive into the world of art with us! 💫",13,"09/11/2023 13:09",https://www.instagram.com/jeanpierreweillpaintings/reel/CxEKW8xPKWz/,"IG reel",,Lifetime,65904,60098,158,247,1540,9,311,58658
18040883707521631,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","As Rosh Hashana approaches, we're diving into the symbolism of pomegranates! 🤗✨ May your merits multiply like the seeds of this sweet fruit. 🎨 

Explore our 'Sweet Year' Mini piece, featuring art that captures the spirit of the holiday. Enjoy 10% off this week! 🍎🍯🎉",0,"09/06/2023 12:09",https://www.instagram.com/jeanpierreweillpaintings/p/Cw3IPpKxXzd/,"IG carousel",,Lifetime,10033,9289,4,3,156,0,54,
18073894585400668,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Discover Art in Miniature! 🎨✨ 

Explore the enchanting world of our mini-sized framed paintings.

There’s nothing quite like it. Each piece boasts three layers, revealing new wonders with every gaze!

Dimensions: 4.25 x 4.25 x 1 inches
Weight: 5.1 ounces

Now, you can place your favorite masterpiece wherever your heart desires. 💫 Where will you place yours? 🏡❤️",4,"09/04/2023 12:09",https://www.instagram.com/jeanpierreweillpaintings/reel/CwyDzdSPVWS/,"IG reel",,Lifetime,49301,46597,95,166,936,15,213,46032
18193174981280110,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Embrace the serenity of the shore on National Beach Day 🏖️🎨 

Our 'Child on Beach' 3D glass painting captures the essence of slowing down, sharing moments with friends (or teddy bears!), and soaking in the sky and sea. 

Art available on jeanpierreweill.com",0,"08/30/2023 08:08",https://www.instagram.com/jeanpierreweillpaintings/p/CwksjysrCxF/,"IG carousel",,Lifetime,8275,7758,0,5,277,4,69,
17940460004610934,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Peek behind the canvas! 🎨✨ From palette to masterpiece, watch the mesmerizing journey of bringing art to life. 

Which one is your favorite? 🎨👩‍🎨",7,"08/28/2023 14:08",https://www.instagram.com/jeanpierreweillpaintings/reel/CwgPBfTtJ2V/,"IG reel",,Lifetime,50957,47635,125,241,1886,33,247,47920
18095566570351508,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Some of you wanted to see more of “Paris Morning”... 

And your wish is our command:

On a quiet Paris morning, a horse-drawn carriage clops past a local French bakery🥐. The awakening blues and yellows brighten this scene while a hot air balloon flies overhead 🎈. And of course, the Eiffel Tower peeps over the scene in the background 🇫🇷. 

Visit our website and discover this and more art pieces: jeanpierreweill.com And remember… Any order made in the next 3 weeks will be automatically upgraded to expedited shipping for free.",9,"08/24/2023 09:08",https://www.instagram.com/jeanpierreweillpaintings/reel/CwVZ1qJuEhH/,"IG reel",,Lifetime,62808,58185,527,516,2651,35,816,62619
18018345724665806,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Share this with your fellow artists and artists lovers ❤️",7,"08/22/2023 06:08",https://www.instagram.com/jeanpierreweillpaintings/reel/CwP8T1cL2-C/,"IG reel",,Lifetime,47295,44985,27,158,708,0,56,44351
