"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Follows,Likes,Comments,Saves,Plays
18028634302564522,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Your wish is our command! 🎨✨ Presenting ‘Ahava’ in all its intricate glory, just for you. Dive into the details! 💫",22,"10/02/2023 15:10",https://www.instagram.com/reel/Cx6Y-bcr81r/,"IG reel",,Lifetime,65331,59244,584,390,2784,76,607,76079
18411087460043387,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","2023 has been an incredible artistic journey – each piece, every moment, a canvas of memories. 🎨✨ 

Thank you for being a part of our creative tapestry! We wish you a Happy New Year filled with inspiration and artful joy. ❤️ 

Stay tuned next week, we’re dropping a little something for you~ (🤫 it’s a giveaway.)",23,"12/28/2023 07:12",https://www.instagram.com/reel/C1ZrE51Lfv1/,"IG reel",,Lifetime,5880666,5655706,36300,58127,343987,2446,34630,6710967
17983500788616771,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Introducing the star of 2023! 🌟 The Kotel piece from the Petite Grand Collection.

This painting speaks volumes about our shared history, unity, and the essence of Oneness. As ‘Hear O Israel’ dances in the heavens, it’s a powerful reminder of our connectedness. 

Shop on jeanpierreweill.com 🛒",7,"12/26/2023 12:12",https://www.instagram.com/reel/C1VFPeBPn1Z/,"IG reel",,Lifetime,124125,116844,627,385,7008,95,1072,207146
17996032652379141,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Firstly, we’d like to thank each and every one of you for following along! 🙏 

We still have two live sales - the biggest of the year. 

Sale 1: Take 10% off the Mini collection, 20% off the Petite and Classique collections! 🌟 It’s automatically applied at checkout.

Sale 2: Take 40% off Gallery edition art pieces using code LIGHT2023. 🎁✨ 

These discounts are painting their way out by December 31st! 🗓️",0,"12/20/2023 12:12",https://www.instagram.com/p/C1Fn9KePfew/,"IG carousel",,Lifetime,13197,12018,1,3,96,0,15,
17994804230384110,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Here’s a splash of color for you today! Love what you see? Visit jeanpierreweill.com to shop for last minute gifts for your loved ones ❤️",6,"12/18/2023 13:12",https://www.instagram.com/reel/C1AkInAvT15/,"IG reel",,Lifetime,131031,127040,830,771,8563,110,1316,211035
17964880835533456,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Transform your space with art that goes beyond boundaries! 🎨✨ 

Imagine your favorite Petite Collection painting, now 4x larger and hand-painted to perfection.

🌍✈️ Expedited shipping available is now worldwide! Get started at jeanpierreweill.com to bring this enchanting experience to your home.",22,"12/13/2023 09:12",https://www.instagram.com/reel/C0zU3tOLfs3/,"IG reel",,Lifetime,79785,75371,161,521,2801,31,351,93456
18401876719055685,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Three art pieces we’re proud of! 🎨👀

#glasspainting #artstudio #glassart",9,"12/11/2023 08:12",https://www.instagram.com/reel/C0uAagHLo_H/,"IG reel",,Lifetime,19098480,18697581,144104,94517,1745173,1864,174547,27912874
18046614922496740,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Dive into the beauty of Chanukah with our exclusive Gallery Editions.🕎 🎨 Use code LIGHT2023 at checkout to illuminate your space with a special Hannukah discount. 🌟",9,"12/07/2023 12:12",https://www.instagram.com/reel/C0kMD-wPm1_/,"IG reel",,Lifetime,768775,726397,3538,3456,43569,285,4413,985344
18011258399078202,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Diving into the surreal world of 3-D paintings at the art studio! 🎨✨ Which masterpiece steals the spotlight for you? Drop your favorite below! 🤩",9,"12/04/2023 11:12",https://www.instagram.com/reel/C0cTVEHx85T/,"IG reel",,Lifetime,142406,135426,1181,1184,6959,63,1198,209103
17950449404711042,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Illuminate your space with the glow of art! ✨ Enjoy an exclusive Chanukah sale on our Judaica masterpieces. Use code LIGHT2023 for a special Hannuka discount on Gallery Editions. 🕎🎨",24,"11/29/2023 11:11",https://www.instagram.com/reel/C0Pggo9PLze/,"IG reel",,Lifetime,94338,89966,232,687,2765,38,319,95326
17910810290851032,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🌟 Last call for Black Friday magic! ✨ Dive into our world of art with 10% off the Mini Collection and a 20% off the Petite and Classique collections. 🎁 Don’t miss out – explore jeanpierreweill.com and wrap up the perfect gift for your special someone! ❤️",22,"11/28/2023 13:11",https://www.instagram.com/reel/C0NEXojPJjM/,"IG reel",,Lifetime,151627,144282,1113,1313,7204,71,1700,187642
18206832622280980,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Gratitude is powerful in every circumstance… and we have too much to be grateful for. ❤️

When life feels fragile and precious, whether due to a personal struggle or a national tragedy, gratitude is an anchor. 🫂

As we head into winter, Thanksgiving is an opportunity to connect to what is important and appreciate the relationships that make life rich. 🙏💕

From our family to yours, Happy Thanksgiving! 🫶",0,"11/22/2023 11:11",https://www.instagram.com/p/Cz9cK0sP5dS/,"IG image",,Lifetime,16370,15725,2,2,141,0,84,
17986123799529621,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We’d like to share with you a project that we’ve been part of over these past few weeks. It’s a website #LetMyChildrenGo and it’s dedicated to the child hostages who were kidnapped and are being held by Hamas.

The site is based on the understanding that art is an expression of life. It is about creativity and openness to possibilities. It is about children who belong at home, with their parents, surrounded by people who love and nurture them. We invite you to create art and share it on the site - to give these children their childhood back.",0,"11/20/2023 15:11",https://www.instagram.com/p/Cz4sIddry21/,"IG carousel",,Lifetime,16935,15999,5,3,149,4,15,
17868303888013739,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Watch us unveil our new piece of the ‘Western Wall’ 

Dive into the details to enjoy it fully. 😉 It’s not on the website yet, but stay tuned! 👀",29,"11/16/2023 13:11",https://www.instagram.com/reel/CzuK6YPvkpL/,"IG reel",,Lifetime,112744,107991,844,776,6795,139,860,129957
17923861766711955,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The art of support:

Join us in uplifting Israeli businesses during these challenging times.

Visit ironbusinesses.com and browse Israeli goods and services!

🇮🇱

#israelibusiness #israeliartists #israeliart #glasspainting #3dpainting",57,"11/14/2023 14:11",https://www.instagram.com/reel/CzpIbiIrleb/,"IG reel",,Lifetime,91263,86906,306,562,2630,102,389,103840
17981946584573674,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The Black Friday deals are live! 🎨✨ Take 10% off the Mini Collection and 20% off from the Petite & Classique collections. Shop now at jeanpierreweill.com",22,"11/10/2023 08:11",https://www.instagram.com/reel/CzeLqN6uco5/,"IG reel",,Lifetime,74096,70728,117,393,1495,7,216,82195
18311887546186516,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Behind the scenes at our art studio, we’re making sure that all your art gifts are being sent out! 

Hop in on the current sale:
Mini - 10% off, Petite and Classique - 20% off, just for you. 🛍️",11,"11/06/2023 08:11",https://www.instagram.com/reel/CzT9BZvLt5A/,"IG reel",,Lifetime,62156,59809,45,325,959,7,116,75352
